Date,Sample_ID,Site,NH4_uM,Count,SFDM_g,Distance,Habitat
9/25/19,4C,BC1,2.712890674,6,386.60947,0,R
9/25/19,5I,BC1,2.467784678,6,386.60947,0.25,R
9/25/19,1F,BC1,1.202352103,6,386.60947,0.5,R
9/25/19,2F,BC1,1.15265524,6,386.60947,1,R
9/25/19,4H,BC1,1.063546354,6,386.60947,2,R
9/25/19,4F,BC1,0.70451266,6,386.60947,4,R
11/2/19,4R,BR1,2.897714647,4,259.23756,0,C
11/2/19,4L,BR1,2.71991411,4,259.23756,0.25,C
11/2/19,5A,BR1,2.198057076,4,259.23756,0.5,C
11/2/19,2I,BR1,1.855305108,4,259.23756,1,C
11/2/19,1G,BR1,1.167884207,4,259.23756,2,C
11/2/19,4E,BR1,0.538178806,4,259.23756,4,C
11/2/19,3J,BR2,7.132392873,12,796.91998,0.25,R
11/2/19,4M,BR2,3.727659915,12,796.91998,0,R
11/2/19,3P,BR2,1.637176285,12,796.91998,0.5,R
11/2/19,5H,BR2,1.309756406,12,796.91998,1,R
11/2/19,3F,BR2,0.668922398,12,796.91998,2,R
11/2/19,2F,BR2,0.826880428,12,796.91998,4,R
9/24/19,5L,BR3,4.338351306,8,504.34912,0.25,R
9/24/19,3H,BR3,3.824007205,8,504.34912,0,R
9/24/19,2D,BR3,1.369125711,8,504.34912,1,R
9/24/19,4H,BR3,1.231033631,8,504.34912,4,R
9/24/19,1B,BR3,0.869943403,8,504.34912,2,R
11/2/19,5J,BR1,3.273288662,6,408.88049,0,R
11/2/19,3A,BR1,2.2741697,6,408.88049,0.25,R
11/2/19,1J,BR1,1.559094072,6,408.88049,0.5,R
11/2/19,1L,BR1,1.516313088,6,408.88049,1,R
11/2/19,4J,BR1,1.623517503,6,408.88049,2,R
9/24/19,5A,BR3,2.929102798,3,244.40619,0,R
9/24/19,1H,BR3,2.021261673,3,244.40619,0.25,R
9/24/19,4E,BR3,1.497559352,3,244.40619,0.5,R
9/24/19,3B,BR3,1.097995616,3,244.40619,1,R
9/24/19,4B,BR3,1.226927396,3,244.40619,4,R
9/24/19,3A,BR3,2.457515056,4,278.84191,0,R
9/24/19,2B,BR3,2.370881028,4,278.84191,0.25,R
9/24/19,4A,BR3,2.446171514,4,278.84191,0.5,R
9/24/19,2H,BR3,0.711404003,4,278.84191,1,R
9/24/19,4F,BR3,0.755125367,4,278.84191,4,R
9/23/19,1H,CC1,2.840748886,6,572.06586,0,C
9/23/19,2H,CC1,2.265811494,6,572.06586,0.25,C
9/23/19,2D,CC1,2.110231117,6,572.06586,0.5,C
9/23/19,4B,CC1,1.59246299,6,572.06586,1,C
9/23/19,3H,CC1,0.849716581,6,572.06586,2,C
9/23/19,1C,CC1,0.611194744,6,572.06586,4,C
9/23/19,2B,CC2,1.204004286,1,69.28415,0,R
9/23/19,4E,CC2,0.802129979,1,69.28415,0.25,R
9/23/19,2A,CC2,0.758249608,1,69.28415,0.5,R
9/23/19,1A,CC2,0.865632199,1,69.28415,1,R
9/23/19,1I,CC2,1.053105302,1,69.28415,2,R
9/23/19,2I,CC2,0.953158777,1,69.28415,4,R
9/23/19,3C,CC3,5.45133436,9,708.11819,0,R
9/23/19,4G,CC3,4.162979917,9,708.11819,0.25,R
9/23/19,1D,CC3,1.464700161,9,708.11819,0.5,R
9/23/19,4D,CC3,1.259202112,9,708.11819,1,R
9/23/19,5F,CC3,1.221613081,9,708.11819,2,R
9/23/19,3B,CC3,1.102177006,9,708.11819,4,R
9/24/19,4C,CC5,6.541985829,16,1519.5118,0,C
9/24/19,2C,CC5,3.420053383,16,1519.5118,0.25,C
9/24/19,3G,CC5,2.414358912,16,1519.5118,1,C
9/24/19,5A,CC5,0.839386089,16,1519.5118,2,C
9/24/19,5B,CC5,0.828845657,16,1519.5118,4,C
9/24/19,1F,CC4,2.257597783,1,80.15359,0,R
9/24/19,2G,CC4,1.083011681,1,80.15359,0.25,R
9/24/19,4A,CC4,0.635272519,1,80.15359,1,R
9/24/19,2F,CC4,0.782320551,1,80.15359,2,R
9/24/19,3A,CC4,0.778311832,1,80.15359,4,R
9/24/19,5C,CC5,8.203306343,20,2129.27243,0,R
9/24/19,1D,CC5,6.570090956,20,2129.27243,0.25,R
9/24/19,4H,CC5,4.555409027,20,2129.27243,0.5,R
9/24/19,3D,CC5,2.785345469,20,2129.27243,1,R
9/24/19,1G,CC5,2.803518863,20,2129.27243,2,R
9/24/19,1B,CC5,1.47403748,20,2129.27243,4,R